微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
AaOcEbo9P,网友问: 请问毛毛姐发现丈夫出轨如何处理自己的情绪呢，总归会有失落和难过吧？在一起过毕竟有感情，其实很多人是面对不了一个人难过。答: 我的失落和难过可能比别人更大呢! 以至于我面对不了这种挫败感，一时想不开，干了件比跳楼更痛苦的自杀性事件---学德语。  ,,无,无,无,2013-09-23 18:37,微博 weibo.com,16,4,20
AaMNwimvQ,我尊重所有人的爱情，即使是我丈夫对其她女人的爱情，我也会鼎力成全，因为人生虽漫长，但真正的爱情没几次，遇到了，就好好去享受。我成全了别人，老天爷才会成全我，不然，我霸占着不属于我的心跳，诅咒着别人的爱情，老天爷就没法把那个只为我心跳的男人牵过来，自己的缘分活活被自己诅咒没了。  ,,无,无,无,2013-09-23 15:02,微博 weibo.com,100,399,131
AaMCpth7T,网友问: 很久没有喜欢的人了，性欲正常，只能偶尔自己来。很困扰为什么男人对我没兴趣，我也对具体哪个男人没兴趣，怎么办? 答: 这世界，让人感兴趣的男人本来就不多，一时之间对具体哪个男人没兴趣没什么，重要的是始终保持对自己的兴趣。先跟自己谈场恋爱吧，就像运动前的热身一样，活血舒脉下。  ,,无,无,无,2013-09-23 14:35,微博 weibo.com,14,5,5
AaMxtn6nE,网友问: 已婚有子，最近爱上一同事，很痛苦。不知为什么会爱上他，已多年没有过这种感觉，暗恋一个男生的那种感觉，知道不对...可无法控制，求骂醒。答: 你只是爱上了其他人，又没上了其他人，我才不会骂你。人生虽漫长，但真正的爱情没几次，遇到了，就好好去享受，哪怕是暗恋，也是一种美好。  ,,无,无,无,2013-09-23 14:23,微博 weibo.com,13,5,12
AaECaho1R,网友问: 毛毛姐，我有一個問題不太好意思問，我懷疑我的性需求比較大，未婚夫可能滿足不了我，而我又不想出軌破壞感情，怎麼辦呀？答: 不管精神还是肉体，一个不满足的女人，很难给予这个男人幸福，为了你的性福和他的幸福，请尊重你的需求和他的能力，痛下决心重新换人，否则只能自求多夫了。  ,,无,无,无,2013-09-22 18:12,微博 weibo.com,9,10,18
AaEwopCim,网友问: 如果爱上一个人，且灵肉都默契，可惜他已婚，于是选择退出。然而有一天，这个人告诉你他离婚了，我心里对他也还有感觉，请问我能和他在一起吗？答: 即使他没离婚，只要你和他乐意，你们都可以在一起，没人拦得住，何况他单身呢? 我想，你的不确定恐怕来源于他离婚后的不确切吧?  ,,无,无,无,2013-09-22 17:58,微博 weibo.com,7,2,35
AalXlfU3M,如果我的丈夫，追求其她女人，我宁可那个女人禁不住诱惑倒戈，也不愿让他碰壁灰溜溜返回。因为，从他起意动身去追逐婚外情那一刻起，已证明我的婚姻一败涂地，假如他再没追上人家，更证明我的眼光一败涂地，双重失败，我可经受不起，宁可他外遇顺利，我离婚成功，好歹我还没嫁过鸡贼猥琐咸猪手。  ,,无,无,无,2013-09-20 18:42,微博 weibo.com,40,57,77
AalNQDhup,可能我是唯一一个不指责小三也不惧怕小三的大奶，因为，我觉得吧，如果你都拦不住自己丈夫跳到别人床上去，怎么能眼巴巴指望别人替你拦住他呢? 谁的家庭谁做主，谁的婚姻谁负责，谁的床谁铺，谁的地谁种，田产包干，责任到人。你的苗，长到人家院子里去了，就别怪人家白吃白拿。  ,,无,无,无,2013-09-20 18:19,微博 weibo.com,19,30,20
AalBHrz0O,网友问: 前男友已婚，和他分手原因是异地恋，家人反对，近日他来看我二人没能禁住诱惑，但我没打算破坏他的婚姻，心里似乎也没什么愧疚感，想问下毛毛姐，我的道德感是否出了问题？答: 你没责任爱护他的婚姻，也没能力破坏他的婚姻，不过你有责任爱护你的未来，就要有能力建设新的爱情，祝好运。  ,,无,无,无,2013-09-20 17:49,微博 weibo.com,21,9,7
AakFpxPpg,"网友问: 和男友相處爭執日多，二人並不合適，但現懷孕几周。每每思慮萬千，明知如何才是所謂""明智""或""簡單""，但...? 答: ""明智""或""簡單""不是你想象的拿掉孩子拍屁股走人，而是，审时度势，不管拔刀而上还是立地成佛，都承担后果。敢生就敢养，敢做就敢当，无论怎么选择，都是明智和简单的。  ",,无,无,无,2013-09-20 15:25,微博 weibo.com,13,6,9
AakuOnfJp,彪悍的人生不需要谎言，更不屑于说谎。  ,,无,无,无,2013-09-20 14:59,微博 weibo.com,29,23,13
Aa3fpiKNC,网友问: 毛毛姐，怎么看待王菲和李亚鹏离婚事件？答: 他俩离婚，压根儿不是什么老夫老妻平淡厌倦，而是老夫老妻同床异梦。婚姻其实是件很简单的事儿，就是同路人一起搭个伴儿，越走越有劲。他俩这么多年，一个搞灵修，一个做生意，不是一路人，死活拧把到一块儿，越走越受罪，还是分道扬镳的好。  ,,无,无,无,2013-09-18 19:05,微博 weibo.com,32,16,30
Aa1Ks1Ejf,网友问: 最近比较烦恼，喜欢上有妇之夫怎么办？明知道是不可能的... 答: 我最近也比较烦恼，喜欢上有肌之腹怎么办? 明知道是不可能的... 后来我想，光烦恼有什么用呢，除了把心情搞糟? 要么认清现实歇菜，要么下定决心去搞。只是，搞人夫成王败寇，不像搞腹肌，虽败犹荣，不如你也来搞腹肌吧?  ,,无,无,无,2013-09-18 15:16,微博 weibo.com,18,11,18
A9VfilttZ,网友问: 按照你的理论妻子性欲强，丈夫就不会出轨吗？答: 妻子性欲强，不能保证丈夫不出轨，但，性欲强的女人行动力也强，一抬脚就踹飞了男人，一跺脚就自己起飞了，哪可能做窝囊大奶! 为什么德国包二奶现象罕见，正是因为，德国女人性欲比中国女人大呀!  ,,无,无,无,2013-09-17 22:42,微博 weibo.com,9,25,136
A9Uf7kZnV,网友坦诚写道: 我是一个说谎的男人，但我不希望说谎。按照你之前一个微博说的，我告诉妻子我不满足。但她觉得这是我的问题，与她无关，我要是去找别人，她就离婚。而到目前为止，她是我遇到的最好婚姻对象。我要寻找更好的，就要牺牲她，更好的也许并不存在，或者说我未必能遇到。只好说谎，骑驴找马。  ,,无,无,无,2013-09-17 20:09,微博 weibo.com,1,17,47
A9KPIsLSM,我认识一男士，人家就不欺骗妻子，跟妻子直接说，他对妻子身材不满意，对性爱不满意(妻子本人比较瘦小，且对性没多大兴趣)，但对妻子为人善良贤惠忠贞孝敬公婆等非常满意，如果妻子不愿离婚，他绝不离婚，但请妻子放他一马。结果他老婆就是同意他去找情人了，像好朋友那样，还为他出谋划策呢。  ,,无,无,无,2013-09-16 20:12,微博 weibo.com,12,46,45
A9KAm6nDG,网友问: 有的女人对性的观念就是每月2次，这如何改变呢？？答: 有的人一顿就吃二两饭，为什么强迫人家吃半斤呢? 不能因为你吃半斤就把半斤定为标准伙食，规定人家往进塞呀。我的建议，假如你们饭量相差不大，互相迁就一下各让一步，难度应该不大; 如果饭量相差太大，趁早散伙，省得你迟早去偷吃。  ,,无,无,无,2013-09-16 19:34,微博 weibo.com,3,43,14
A9IJwuHim,很多男人抱怨妻子性冷，前戏也到位，床上也卖力，这个死婆娘，怎么就像死猪一样冷冰冰呢? 这个，我给你们的建议是，女人奏像猪头肉，小火慢炖，最后开锅才香气四溢。平时对她就像对老妈子，既不称赞也不亵渎，冷言冷语公事公办，床下不添柴，还指望猪头肉里娇外嫩汁肥液美? 以为田螺姐姐，可以爆炒啊!  ,,无,无,无,2013-09-16 14:51,微博 weibo.com,43,69,41
A9Bh5d6B1,网友问: 有的男人说，心里爱的人是a，但喜欢b的身体，这是怎么回事呢？答: 这还不好理解，b的身体上有b，a的身体上没b啊，呵呵。遇到这种鬼话，你就直接跟他说，爱c谁去c谁，少跟老娘废话，没工夫k你。  ,,无,无,无,2013-09-15 19:52,微博 weibo.com,9,5,59
A9AHvDLHQ,"很多人无法自圆其说，只好东拉西扯，说得狗屁不通。我现在彻底看穿了，凡是不把人话往明白里讲的人，都是无法正视自己内心的人，跟这类人，我找到一个最佳应对办法，就是不反驳，直接告诉他们""求仁得仁，人追求什么，就得到什么，放宽心，你一定会得到你想要的人生，就像我得到我想要的人生一样。""  ",,无,无,无,2013-09-15 18:24,微博 weibo.com,30,33,31
A9ApAC91L,激情不是指追求新鲜刺激，而是恒动的生命热量。正像，一个有激情的钢琴家，不是指不停更换钢琴来寻求新鲜刺激的人，而是指，在同一座钢琴上弹奏名曲的大师。当一个人干着自己热爱的事或人时，是不会随着时间消逝而减少激情的。大多数人之所以不再弹钢琴，因为钢琴不是他真正的爱好，只是谋生的工具。  ,,无,无,无,2013-09-15 17:40,微博 weibo.com,32,100,62
A9rHVqJDX,任何人从婴幼儿时期起，大脑中就开始逐渐形成对异性形象的塑造和完成，这个异性形象受父母家人兄弟姐妹师长同学书籍等等影响，打上极具个性的烙印，在日后婚姻中，会自觉不自觉与现实生活中的伴侣作比较，当二者大体相符时，爱情才会日久弥新; 一旦二者相左太大，就会因失望落入平淡，厌倦及至厌恶。  ,,无,无,无,2013-09-14 19:30,微博 weibo.com,11,25,7
A9rrrlhyz,网友问: 毛毛认为男人出轨，是因为夫妻性活动不契合吗？答: 不分男女，任何人出轨，说白了都是性生活不和谐造成的，但这个性生活不和谐，只是一个表面现象，真正隐藏在它背后的其实是二人心理不契合! 夫妻双方或一方缺乏性欲，皆因双方或一方对异性的期待或理想落空，或愤然或淡然封闭了自己的身体。  ,,无,无,无,2013-09-14 18:50,微博 weibo.com,17,30,23
A9rkfampv,网友问: 王菲和李亚鹏离婚，毛姐还相信爱情吗? 答: 就算我自己离完婚，还照样睡得欢呢，何况是八竿子打不着的人离婚。正因为有人离婚，才让我确信无疑爱情和婚姻的意义。令我绝望的，恰恰是天天念叨平平淡淡才是真的苟且相! 那种粗制滥造的低质婚姻，就像山寨挤垮真货一样气势汹汹，泛滥成灾!  ,,无,无,无,2013-09-14 18:32,微博 weibo.com,47,44,28
A9qdIy0fX,常年无性网友问: 我对老公处在一个＂有爱意没性欲＂的状态中。性应该是自发的，如果为了这个正儿八经好好坐下来谈一谈，总觉得太刻意，反而会起到反作用。可我很怕自己因为吃不饱而抵抗不住外食的诱惑！  ,,无,无,无,2013-09-14 15:43,微博 weibo.com,1,12,4
A9q2e8c85,网友不明白为什么德国人性观念很开放，出轨率反而很低，我通过自己的婚姻案例解释下这是为什么吧: 正因为德国人终生性教育非常科学开放，从小就对性别差异了如指掌，随着年龄增长，对自身及异性需求毫不避讳，寻找伴侣时就不会藏三掖四隐瞒各自真正喜好，婚后契合几率高，因此无需婚外解渴。  ,,无,无,无,2013-09-14 15:15,微博 weibo.com,20,30,16
A9kxGC5OV,网友问: 毛毛姐相信男女之间可以存在一生一世的激情吗？那种见面就会脸红心跳的感觉？ 答: 脸红心跳是相爱男女上床前的一种正常反应，算不上什么激情，一辈子保持这水平，就像一辈子套着游泳圈下水一样，错过了遨游爱河，郎挺妾湿的激情，挺可惜，呵呵。  ,,无,无,无,2013-09-14 01:16,微博 weibo.com,3,2,5
A9gTIu0gR,"@勤奋的双鱼妞妞 写道: ""中国婆婆和男人定义好老婆标准等同于好保姆：烧得一手好饭，拖得一手好地，带得一手好娃; 在中国丈母娘和女人眼里好男人定义等同于机器人：人肉ATM机+不好色无性欲。男女都没进化好，婚姻还能搞得好?"" 所以，好保姆和机器人婚内平平淡淡，婚外轰轰烈烈，否则日子熬不下去呀。  ",,无,无,无,2013-09-13 15:59,微博 weibo.com,25,23,17
A9akyAhCb,"""根据对婚外情进行了跟踪调查的美国综合社会调查(General Social Survey)的数据，15%左右的已婚美国人承认他们有婚外情──这个比例在过去几十年里保持了相对稳定。""----一向嘲笑美国人性保守，自以为性豪放的德国人出轨率才12%，要是他们知道中国的出轨率，估计更笑不出来了  ",,无,无,无,2013-09-12 23:16,微博 weibo.com,6,9,73
A98Zyi96I,常有女网友来信诉说无性婚姻痛苦，有的数月，有的数年，最长竟达十几年，不是我没同情心，而是我好奇正常人性和血性都去了哪! 我第一次婚姻还算不上无性婚姻(每月也有那么一两次，聊胜于无)，都把我饿得前心贴后心，像饿狼一样到处踅摸，不知你们是如何修行的忍者神功，欢迎经验丰富的大师们赐讲  ,,无,无,无,2013-09-12 19:52,微博 weibo.com,6,9,51
A98ut61Vw,我老公最喜欢拍屁股，不管是足球赢了还是输了，吃饱了还是饿肚子，开心还是闹心....总之，他一见到我，就要伸手，久而久之我也形成了条件反射，一见他屁股就向后翘，天长日久下来，我感觉从背影看，屁股也跟黑人差不了多少了。不知这项健身运动，能否大力普及，改善东方女性体形。  ,,无,无,无,2013-09-12 18:35,微博 weibo.com,14,14,29
A98gvj3DL,网友问: 老公总出差，我一人辛苦在家看孩子，换来的却是他的背叛。被我发现蛛丝马迹，他却维护小三的家庭。我想离婚，可舍不得孩子，怎么办? 答: 俗话说，舍不得孩子套不着郎，我的意思是，婚姻和孩子不矛盾啊。反正他那么在乎小三的家庭，你不妨以此作砝码，把孩子和经济争取到手吧。  ,,无,无,无,2013-09-12 18:01,微博 weibo.com,8,7,15
A8ZVpjks3,看了那么多案例，发现长年无性的婚姻积重难返，很难再通过交流改善，除了离婚或外遇或干忍，没有其它出路。因此，年轻夫妇一定注意，避免陷入无性婚姻中难以自拔，若无疾病等原因，若一个月不碰对方，二人一定抽时间坐下来开诚布公交流，趁感情尚暖耐心尚存时，把问题解决掉，否则越拖越无望。  ,,无,无,无,2013-09-11 20:47,微博 weibo.com,7,40,44
A8XWwCR4Z,最悲催的是80后男人，他们年轻力壮时，年轻女孩被70后大叔控制了，哪怕做小三做填房，也不愿看他们一眼; 第二悲催的是70后女人，年轻时为了爱情跟着70后男孩吃苦，物质生活刚一达标，爱情生活又萎缩了。要不我建议这样吧，80后男孩不如就从了70后女人吧，反正花的都是70后男人的钱，呵呵。  ,,无,无,无,2013-09-11 15:44,微博 weibo.com,24,16,32
A8XSgbh7j,我觉得70后的男人最幸运，他们年轻时，女孩信奉实现自我共同奋斗的爱情观(至少我是这样的，虽然我性观念乱一些，但金钱观还是很单纯的，嘿嘿)，所以他们轻松享受到了当时年轻女孩的爱情和身体，等到这帮女孩人老珠黄时，当代女孩又追求物质享受身体开放了，正好落到70后男人手里。  ,,无,无,无,2013-09-11 15:33,微博 weibo.com,13,17,15
A8Ty9yobx,网友问: 年近五十，半生为丈夫放荡不羁呕心沥血，近年婚姻无性，丈夫婚外有人。最近结识一知己，才懂人间美妙真爱性福，可惜二人均有家室，怎么办？答: 做好保密工作，抓住家庭财产，继续享受生活，请记住，婚外情动心动身动情皆可，万不可动钱。让那些说女人五十就完蛋的混账们自以为是去吧，哼!  ,,无,无,无,2013-09-11 04:33,微博 weibo.com,26,18,104
A8OFieZ6X,女网友说: 男女相差十来岁的婚姻是很和谐的。答: 老夫少妻开始阶段可能会很和谐，因为女人的性感知及性觉醒晚于男性，很多二十多岁的女孩子都没有性高潮经历，性快感也不大，都属正常现象。老夫少妻真正难过的一道坎儿是女人三十五岁，尤其四十岁以后，能挺过去的少，反正我挺不过去，你挺把试试!  ,,无,无,无,2013-09-10 16:07,微博 weibo.com,9,4,121
A8NY7lAwl,网友问: 一事业和婚姻皆有成之男人追求我，说只保持关系既可，他四十多，我二十出头。我没谈过恋爱，不想第一段感情就做别人的小三。可同时又知道，这是一个非常好的进阶途径，能够增加阅历，通过他认识一个不一样的世界，请问我该怎么办呀?  ,,无,无,无,2013-09-10 14:20,微博 weibo.com,0,47,29
A8H5Rqg6d,"小女儿说""妈妈跑那么远，会不会越来越瘦，最后瘦没了?"" 把我们笑的，老公说""妈妈跑步是为了长肌肉，不是为了减肥，再说，你们俩那么甜，就是妈妈的甜食，有你们在，她也不会瘦没的。""  ",,无,无,无,2013-09-09 20:50,微博 weibo.com,12,3,7
A8GZFhVJx,昨天带孩子去森林，他们三人骑车，我跑步，整整折腾了十几公里，虽然中间两次休息吃喝，但小女儿还是第一次骑这么远，也算不简单。我们打算下次折腾二十公里，不知他们行不行，反正我是没问题。  ,,无,无,无,2013-09-09 20:35,微博 weibo.com,8,2,9
A8GfmhFFs,网友问: 可以问一下如何让男人喜欢自己吗？我不自信。答: 你只要先学会让自己喜欢自己就行了，因为，男人都喜欢那些自己喜欢自己的女人。  ,,无,无,无,2013-09-09 18:41,微博 weibo.com,31,25,21
A8EEEDoAx,"网友问: 相亲后男方说处处看，木有上床就不算对象关系，是潜在男女友关系，您觉得怎么看这个男人？答: 这男人是个情商极低还自我感觉良好的大傻帽! 我猜他对你有优越感，才敢如此说话，他的意思是""老子懒得追你，但不拦着你上我!"" 你不妨给他一个明确态度:""老娘懒得上你，但不拦着你追我!"" 看谁更牛。  ",,无,无,无,2013-09-09 14:38,微博 weibo.com,9,3,9
A8zovwW3p,横眉冷对千夫指，俯首甘为童子鸡。  ,,无,无,无,2013-09-09 01:14,微博 weibo.com,7,1,9
A8ygYCeFA,网友问: 性能力不强怎么办? 答: 找一个跟自己性能力和性喜好接近的呗。性这东西，又不是奥林匹克运动，更高更快更强才取胜。我觉得性更像交谊舞，只要水平般配，配合默契，俩人就能跳得行云流水，琴瑟和谐。在性上，没有强弱，只有合拍，找个人去操练吧!  ,,无,无,无,2013-09-08 22:23,微博 weibo.com,20,11,23
A8xwYvGSt,网友说: 如果我老婆也有和您一样的心态那我就太性福咯! 答: 孜孜不倦开发呀，俗话说，人勤地不懒! 医学角度讲，性冷淡几率低于同性恋几率，也就是说，你碰到拉拉的几率都大于性冷，关键在于耕耘，耕耘再耕耘，结出累累硕果，汁多味美，造福全家，波及社会。  ,,无,无,无,2013-09-08 20:30,微博 weibo.com,11,5,17
A8lHwE5bM,在性上，不管你选择的是婚前守贞，还是注重性和谐，都不重要，重要的是你要清楚为此付出的代价并平静接受。如果你选择婚前守贞，就不要在婚后追求性和谐，我的意思是，假如出现不和谐，不要哭爹喊妈; 如果你选择性和谐，就要接受别人认为你不和谐而在婚前淘汰掉你的风险，不要怨世风日下。  ,,无,无,无,2013-09-07 14:23,微博 weibo.com,9,18,14
A8lAq63eH,网友问: 从小受母亲坚守贞操的影响，很抗拒男生婚前性请求。请问，我是不是太固执？答: 任何人都有坚守自己原则的权利，并且只有固执坚守自己的原则，才能把不符合要求的人过滤掉，最终找到你的幸福!! 对于性爱，每个人都应旗帜鲜明，最忌讳的是东摇西摆，这种人会把自己搞混乱的同时也把他人搞错乱。  ,,无,无,无,2013-09-07 14:05,微博 weibo.com,8,7,17
A8f8T0ojC,网友问: 毛毛，请问你第一段婚姻因何成为更糟糕的人，第二段却截然不同。是因你自身变了，还是两人相处契合了? 答: 江山易改，本性难移。我不是一个甘于平淡过日子的女人，这种本性，第一次婚姻如此，第二次依旧，丝毫没变! 变的只是枕边人，他启发挖掘满足了我对男人的需求，一顺百顺了而已。  ,,无,无,无,2013-09-06 21:41,微博 weibo.com,9,6,11
A8eNj0w7E,网友问: 丈夫在外面偷吃，但还和妻子保持一定频率的性生活，说明外面只是玩玩的吗？答: 是的，他把你们都玩了，妻子是他的道具，小三是他的玩具，功能虽有别，贵贱也不同，但，都是他的掌上物罢了。假如他的性频率能满足妻子，说明妻子的饭量也不大，该着跟人分享一锅饭，胃口小就得拼桌吃，呵呵。  ,,无,无,无,2013-09-06 20:48,微博 weibo.com,9,8,17
A8dNf6uLG,网友问: 请问年轻夫妻，孩子5岁，三个月没性生活，各自天天都回家，什么状况? 答: 状况是各自正在酝酿期，至于是酝酿外遇，还是酝酿内战，这个，说不准，跟际遇有很大关系，比如说，丈夫公司碰巧新招来一个女学生，妻子公司碰巧新调来一个男上司...总之，婚姻进入了不靠福气，单靠运气维持的瓶颈期。  ,,无,无,无,2013-09-06 18:15,微博 weibo.com,14,5,15
A8cYjtAUy,我家两个孩子不约而同跟爸爸更亲密，或者说更喜欢爸爸一些，这个的原因呢是因为，从她们小时候起，妈妈的责任就是吃喝穿，爸爸的责任是玩玩玩。吃喝穿这些东西呢，对小孩子来讲没什么意思，所以只要不冷不饿，就去找爸爸! 爸爸跟她们耍活宝，玩游戏，讲故事，下象棋，踢足球，修玩具...爸爸多好玩。  ,,无,无,无,2013-09-06 16:09,微博 weibo.com,12,77,17
A8cLKxhAL,哈佛科学家跟踪调查结果显示，跟父亲关系更亲密的孩子的父母，离婚率远远低于跟母亲关系更亲密的孩子的父母，因为跟父亲亲密的孩子的父亲，会为了给孩子提供一个更稳定的家庭，把爱和精力充分投入给孩子的母亲。反之，跟母亲关系更亲密的孩子的父亲，因感到自身被排斥在母子关系外，而愤然远离这个家。  ,,无,无,无,2013-09-06 15:38,微博 weibo.com,15,54,16
